#weight  minuslogpost     logGnu      logA         ns  theta_MC_100       ombh2      omch2         tau  A_planck         Gnu            As        H0     omegam   omegamh2   omega_de        YHe        Y_p     DHBBN       zre     sigma8       s8h5  s8omegamp5  s8omegamp25         A     clamp       age     rdrag  chi2__CMB  minuslogprior  minuslogprior__0      chi2  chi2__planck_2018_lowl.TT  chi2__planck_2018_lowl.EE  chi2__planck_2018_highl_plik.TTTEEE_lite  chi2__planck_2018_lensing.clik
 7 515.11827 -1.2824572 2.9527435 0.92024142 1.0474719 0.022150185  0.1217763 0.050204343 1.0008406 0.052184652 1.9158443e-09 69.262558 0.30001548 0.14392648 0.69989732 0.24530898 0.24663518 2.6274576 7.3363335 0.81010398 0.97340036 0.44372367 0.59955175 1.9158443 1.7328193 13.604724 146.87851 1051.4613  -10.61239  -10.61239 1051.4613 28.837193  395.8135 616.76162 10.049006
 3 514.28065 -1.2974659 2.9514669 0.92001569 1.0475011 0.022106511 0.12188894  0.04921924 1.0011057 0.050412024 1.9134001e-09 69.196121  0.3007359 0.14399545 0.69917673 0.24529064 0.24661677 2.6358277 7.2430472 0.81051624 0.97436314 0.44448219 0.60021665 1.9134001 1.7340216 13.608658 146.89757 1049.7035 -10.571117 -10.571117 1049.7035 28.815352 395.74063  615.2631 9.8844435
 8  514.6412 -1.2974659 2.9514669 0.92001569 1.0475011 0.022106511 0.12188894  0.04921924 1.0006756 0.050412024 1.9134001e-09 69.196121  0.3007359 0.14399545 0.69917673 0.24529064 0.24661677 2.6358277 7.2430472 0.81051624 0.97436314 0.44448219 0.60021665 1.9134001 1.7340216 13.608658 146.89757 1050.5472   -10.6324   -10.6324 1050.5472 28.916262 395.75615 615.88597 9.9888155
 5  514.2853 -1.2974659 2.9514669 0.92001569 1.0475011 0.022106511 0.12188894  0.04921924 1.0015673 0.050412024 1.9134001e-09 69.196121  0.3007359 0.14399545 0.69917673 0.24529064 0.24661677 2.6358277 7.2430472 0.81051624 0.97436314 0.44448219 0.60021665 1.9134001 1.7340216 13.608658 146.89757 1049.5154 -10.472413 -10.472413 1049.5154  28.70758 395.74422  615.2794 9.7842123
67 514.27566  -1.304135 2.9514976 0.91996131  1.047501 0.022105307 0.12188951 0.049214164 1.0015838 0.049643795 1.9134589e-09 69.194887 0.30074529 0.14399481 0.69916733 0.24529013 0.24661626 2.6360586 7.2427721 0.81069375 0.97458523 0.44458647 0.60035279 1.9134589 1.7340925 13.608782 146.89876 1049.4878 -10.468252 -10.468252 1049.4878 28.719592 395.75486 615.29647 9.7169107
 3 514.47311 -1.2964053 2.9508727 0.91981418 1.0474848 0.022083957 0.12209179 0.048410898 1.0018576 0.050535282 1.9122635e-09  69.10061 0.30194543 0.14417575 0.69796696 0.24528098 0.24660708 2.6401533 7.1644855  0.8109743 0.97558733 0.44562682  0.6011588 1.9122635 1.7357955 13.612178 146.86958  1049.732 -10.392876 -10.392876  1049.732 28.720743 395.74964 615.31407 9.9475222
28 516.03292 -1.3362262 2.9507349 0.91969529 1.0474857 0.022079776 0.12210577 0.048346914 1.0018382 0.046107738 1.9119999e-09 69.092501 0.30203683 0.14418555 0.69787554 0.24527917 0.24660526 2.6409555   7.15872 0.81201522 0.97689686 0.44626633 0.60197596 1.9119999 1.7357784 13.612623 146.87057  1052.863 -10.398599 -10.398599  1052.863 28.715689  395.6698 618.88517 9.5923679
46 517.68083 -1.3314846 2.9498088 0.91929982 1.0475382 0.022078853 0.12146121  0.04633327 1.0038532 0.046613893 1.9102301e-09 69.335637 0.29857959 0.14354006 0.70133339 0.24527877 0.24660486 2.6411327 6.9329509 0.80922655 0.97183351 0.44218111  0.5981845 1.9102301 1.7411697 13.608607 147.04054  1054.324 -9.4811736 -9.4811736  1054.324 28.812408 395.74394 620.48149 9.2861549
 9 518.21745 -1.3314846 2.9498088 0.91929982 1.0475382 0.022078853 0.12146121  0.04633327 1.0040518 0.046613893 1.9102301e-09 69.335637 0.29857959 0.14354006 0.70133339 0.24527877 0.24660486 2.6411327 6.9329509 0.80922655 0.97183351 0.44218111  0.5981845 1.9102301 1.7411697 13.608607 147.04054  1055.146 -9.3555329 -9.3555329  1055.146 28.766077 395.71709 621.38236 9.2804456
13 517.47505 -1.3222773  2.949894 0.91933085 1.0475373 0.022078263 0.12145702  0.04638787 1.0040499 0.047612689 1.9103929e-09 69.336295 0.29856399 0.14353529 0.70134899 0.24527852 0.24660461 2.6412458 6.9389298 0.80900832 0.97156681 0.44205031 0.59801536 1.9103929  1.741128 13.608676 147.04229 1053.6637 -9.3567775 -9.3567775 1053.6637  28.76612 395.76757  619.8304 9.2995795
