#weight  minuslogpost      logGnu      logA         ns  theta_MC_100       ombh2      omch2         tau   A_planck        Gnu            As        H0     omegam   omegamh2   omega_de        YHe        Y_p     DHBBN       zre     sigma8       s8h5  s8omegamp5  s8omegamp25         A     clamp       age     rdrag  chi2__CMB  minuslogprior  minuslogprior__0      chi2  chi2__planck_2018_lowl.TT  chi2__planck_2018_lowl.EE  chi2__planck_2018_highl_plik.TTTEEE_lite  chi2__planck_2018_lensing.clik
13 550.04937 -0.54359319 2.9821195 0.92329422 1.0495588 0.022788895 0.11910762 0.094051042    1.00102 0.28602685 1.9729589e-09 71.467884 0.27781129 0.14189652 0.72210681  0.2455549   0.246882 2.5108472 11.212658 0.80404869 0.95110154 0.42379643 0.58374049 1.9729589 1.6346559 13.469643 146.87263 1121.2701  -10.58569  -10.58569 1121.2701 26.555734 420.94997 665.18032 8.5840977
 3 549.98396 -0.52770047 2.9628503  0.9224042 1.0492939 0.022612023 0.11983466  0.08310754  1.0018113  0.2966877 1.9353055e-09 70.963609 0.28286613 0.14244668  0.7170508 0.24548715 0.24681399 2.5421866 10.341144 0.79928856 0.94882419  0.4251029 0.58290641 1.9353055 1.6389407 13.497879 146.87645 1120.7808 -10.406451 -10.406451 1120.7808 25.873707 411.72449 674.60826 8.5743578
 6 549.80716 -0.52384394 2.9616145 0.92261824 1.0492768 0.022666155 0.11997785 0.081692196  1.0022711   0.299334 1.9329153e-09 70.952748 0.28334469   0.142644 0.71657221 0.24550657 0.24683348 2.5327306 10.203574 0.79908884 0.94865971 0.42535604 0.58300709 1.9329153 1.6415567 13.493631 146.77898 1120.1269 -10.256296 -10.256296 1120.1269 25.770692 410.57912 675.20074 8.5763695
 4 550.21874 -0.51606043 2.9616445  0.9226082 1.0492791 0.022666395 0.11998553 0.081699952  1.0022676 0.30474709 1.9329734e-09 70.950968 0.28337464 0.14265192 0.71654226 0.24550665 0.24683357 2.5326886 10.204365 0.79908595 0.94866817 0.42537698 0.58302038 1.9329734 1.6415806 13.493574 146.77669 1120.9526 -10.257561 -10.257561 1120.9526 25.784435 410.57912 676.01427 8.5747823
10 549.26933 -0.65412192 2.9635531  0.9232176 1.0492753 0.022680335 0.11989932 0.082474841  1.0025427 0.22175738 1.9366661e-09 70.992502 0.28289978 0.14257966 0.71701722  0.2455118 0.24683874 2.5302403  10.26688 0.80035779 0.94990011 0.42569689 0.58370354 1.9366661 1.6421697 13.491946 146.78399  1118.842 -10.151689 -10.151689  1118.842 25.497046 411.02553 673.52206 8.7974087
33 548.36841 -0.62436742 2.9655482 0.92366902  1.049284 0.022669188 0.11980303  0.08383668  1.0023813 0.23748303 1.9405338e-09 71.020499 0.28246376 0.14247222  0.7174533 0.24550768  0.2468346 2.5321986 10.387776 0.80085242 0.95029978  0.4256316  0.5838391 1.9405338 1.6409736 13.492387 146.82157 1117.1674 -10.215278 -10.215278 1117.1674 25.475214 412.11754 670.86713 8.7074872
 3 548.42702  -0.5715765 2.9654988 0.92336473 1.0492816 0.022678937 0.11979983 0.083521748  1.0025995 0.26817822 1.9404379e-09 71.029151 0.28240795 0.14247877 0.71750913 0.24551128 0.24683822 2.5304862 10.357205 0.80041135 0.94971856 0.42535515 0.58348872 1.9404379 1.6419264 13.491482 146.81165 1117.1107 -10.128314 -10.128314 1117.1107 25.623237 411.89678 670.98593 8.6047242
 5 548.06631 -0.63172447 2.9661595 0.92373223 1.0493055 0.022677299 0.11969095 0.083658012  1.0029144 0.23349389 1.9417205e-09  71.07506 0.28182446 0.14236825 0.71809272 0.24551067 0.24683761 2.5307742 10.367241 0.80072548  0.9497844 0.42508227 0.58341598 1.9417205 1.6425639 13.490488  146.8421 1116.1114 -9.9894094 -9.9894094 1116.1114 25.459908 411.88808 670.03406 8.7293875
 5 548.44832 -0.55792037 2.9615206 0.92320493 1.0492737 0.022662252 0.11990867 0.082296008  1.0018135  0.2767449 1.9327339e-09 70.973116   0.283037 0.14257093 0.71687995 0.24550514 0.24683205 2.5334147 10.256544 0.79916789  0.9486174 0.42516708 0.58290641 1.9327339 1.6394216 13.493817 146.80148 1117.7083 -10.405823 -10.405823 1117.7083 25.576441 410.93011 672.56864 8.6330862
27 548.10464 -0.57185339 2.9617277 0.92322056 1.0492772 0.022657429 0.11992261 0.082348627   1.001857 0.26800729 1.9331342e-09 70.965198 0.28311828 0.14258004 0.71679865 0.24550338 0.24683029 2.5342595 10.262904 0.79940186 0.94894807 0.42535262 0.58311892 1.9331342 1.6395886  13.49425 146.80314 1116.9954 -10.393049 -10.393049 1116.9954 25.555168  410.9996 671.78364 8.6569787
